text,user_location,tweet_date,time,city
gwnte serio nao vei nao meu deus gente serio,"Brasília, Brasil",2021-04-01,04:15:57,Brasília
"O pres do Paquistão testou positivo para COVID-19 em 29 de março, 14 dias após receber sua primeira injeção com uma vacina chinesa; em 20 de março, o primeiro-ministro paquistanês testou positivo para COVID-19, 2 dias depois de receber sua inoculação","Espírito Santo, Brasil",2021-04-01,04:15:15,Espírito Santo
"Descanse em paz João Acaiabe 💔 A Covid-19 levou mais um, dessa vez foi nosso eterno Tio Barnabé do Sítio do Pica Pau Amarelo e Tio Chico de Chiquititas. Que tristeza eu tô sentindo 😭😭","Almenara, Brasil",2021-04-01,04:15:23,Almenara
"“...As vacinas protegem razoavelmente bem contra formas graves e mortes. Logo, as pessoas podem se infectar e ficarem assintomáticas e/ou levemente doentes, transmitindo o novo #coronavirus"", explica é uma vergonha p/ o Brasil!","São Paulo, Brasil",2021-04-01,04:08:33,São Paulo
#BolsonaroGenocida até qdo #STF Justiça,"São Paulo, Brasil",2021-04-01,04:05:43,São Paulo
#parabéns presidente Bolsonaro #Brasil é a JUSTIÇA #ImpeachmentBolsonaroUrgente,"São Paulo, Brasil",2021-04-01,04:09:07,São Paulo
Aaaa eu to chorando 😭 eu não acredito nisso,"Brasília, Brasil",2021-04-01,04:14:46,Brasília
"Agora é oficial. Você pode - e deve - filmar os agentes de saúde aplicando a vacina contra a Covid19. O PL já foi aprovado no Senado e agora tramita na Câmara. Ele prevê, também, penas para quem furar a fila da vacina.","Belo Horizonte, Brasil",2021-04-01,04:04:17,Belo Horizonte
"A vacina de Oxford contra a COVID-19 tem eficácia de 79% para prevenir casos sintomáticos da doença e não aumenta o risco de coágulos sanguíneos, anunciou a empresa farmacêutica Astrazeneca, após testes de fase 3 nos EUA, Chile e Peru. #coronavirus #covid19 #pandemia #vacina","Rio de Janeiro, Brasil",2021-04-01,04:14:07,Rio de Janeiro
"a não, eu vou chorar.","Porto Alegre, Brasil",2021-04-01,04:15:37,Porto Alegre
O Chico que fez Chiquititas com ela faleceu por complicações da covid-19,"Contagem, Brasil",2021-04-01,04:06:05,Contagem
O Chico que fez Chiquititas com ela faleceu por complicações da covid-19,"Contagem, Brasil",2021-04-01,04:06:14,Contagem
eu não tô acreditando sério 😭😭,"São Paulo, Brasil",2021-04-01,04:09:30,São Paulo
eu nn tô acreditando,"Salvador, Brasil",2021-04-01,04:07:53,Salvador
"Há um desarranjo global na cadeia de produção mundial, e o Brasil quer ser o diferentão... #Covid #covid19 #coronavirus","São Paulo, Brasil",2021-04-01,04:14:21,São Paulo
"É hipócrita, que chama ... né.","Rio de Janeiro, Brasil",2021-04-01,04:05:13,Rio de Janeiro
"Ditadores e seus vassalos governdores e prefeitos ,até que todos comecem a rebelião contra a ditadura do ""em nome da ciência""...","São Paulo, Brasil",2021-04-01,04:14:06,São Paulo
"Se todo médico soubesse exercer a profissão com responsabilidade respeitando os princípios da bioética, não precisaria de CFM. Se existe um órgão regularor, é pq nem todo profissional tem responsabilidade. CFM é uma piada sem graça. Respeita autonomia de médico, mas não a vida","Toledo, Brasil",2021-04-01,04:11:01,Toledo
"Tive a infelicidade de assistir o programa ""fala que eu te escuto"". Divulgando informações fakes de que há óbitos que não são covid-19 e os médico colocam DO com o propósito do município receber 19 mil reais. Ainda colocam umas antas para falar.","São Paulo, Brasil",2021-04-01,04:13:43,São Paulo
"- rebate a idéia d d q furando a fila da vacinação os empresários poderão manter “seu negócio de pé”. Seg o epidemiologista, nenhuma vacina contra a #COVID19 garante q essas pessoas não serão infectadas..."" VERGONHOSO","São Paulo, Brasil",2021-04-01,04:04:29,São Paulo
mano do céu morreu o João Acaiabe o ator q fez o Tio Chico da cozinha de Chiquititas aos 76 anos vítima da Covid-19 e tava entubado,"Guarujá, Brasil",2021-04-01,04:07:49,Guarujá
Não aguento mais ver notícia triste dessa doença 😥😥,"Minas Gerais, Brasil",2021-04-01,04:20:03,Minas Gerais
"estou em pedaços, apenas","São Carlos, Brasil",2021-04-01,04:18:36,São Carlos
"A mortalidade brasileira por SARS-CoV-2 já é alta: 8 em cada 10 brasileiros intubados em decorrência do vírus morreram, em comparação com uma média mundial de 5 em 10, diz Fernando Bozza, da #coronavirus #COVID","São Paulo, Brasil",2021-04-01,04:21:05,São Paulo
"ABSURDOS DA #PANDEMIA DO #CORONAVÍRUS NO BRASIL - E o golpe em nossos idosos com a #VacinaDeVento continua. Vídeo gravado em #Jacarei, #SaoPaulo. Enquanto estes agentes de saúde não forem presos de forma inafiançável, estes absurdos vão continuar. #COVID19 #VacinaParaTodos","Salto, Brasil",2021-04-01,04:24:53,Salto
Eu acho que to com covid-19 fudeu,"São Paulo, Brasil",2021-04-01,04:22:46,São Paulo
"n vejo a hora do coronavirus ser só mais um assunto em biologia e história, n aguento mais essa situação!","São Paulo, Brasil",2021-04-01,04:20:46,São Paulo
"João Acaiabe, ator bastante conhecido por seu papel em Sítio do Picapau Amarelo e Segundo Sol, não resistiu ao COVID-19 e faleceu aos 76 anos. Que descanse em paz e que também sorria bastante lá no céu 🙏💛","Nordeste, Brazil",2021-04-01,04:19:34,Nordeste
ah não acredito😔😔😔😔😔😔😔,"Rio de Janeiro, Brasil",2021-04-01,04:25:09,Rio de Janeiro
Meu Deus não acredito,"Minas Gerais, Brasil",2021-04-01,04:16:51,Minas Gerais
Feriado para o vírus tbm. Só pode ser brincadeira,"Canoas, Brasil",2021-04-01,04:19:15,Canoas
O Ministério da Saúde atualizou as informações oficiais sobre a pandemia no #Peru. O relatório observa que os casos COVID-19  aumentaram para 1.548.807,"Espírito Santo, Brasil",2021-04-01,04:21:37,Espírito Santo
mano meu crush😭😭,"Guarujá, Brasil",2021-04-01,04:25:31,Guarujá
vou me matar srio,"São Carlos, Brasil",2021-04-01,04:20:37,São Carlos
"se isso for verdade, eu tô com depressão","Guarujá, Brasil",2021-04-01,04:24:54,Guarujá
E lá se vai uma parte da minha infância... Descanse em Paz 😪🙌🏼,"Pernambuco, Brasil",2021-04-01,04:25:03,Pernambuco
"“A falta de medica/os, materiais e leitos de UTI está transformando a situação no caos”, diz Renata P Bueno, médica que atende três hospitais em São Paulo. A carência e a falta de pessoal treinado estão causando mortes desnecessárias, diz ela. #COVID19","São Paulo, Brasil",2021-04-01,04:18:10,São Paulo
"Coração, cérebro, rim, pulmão: você sabia que a covid-19 atinge vários órgãos? #coronavirus #covid19 #pandemia #sarscov2 #cienciabrasileira #divulgaçãocientífica #redecovid19faperj #faperj #covid19faperj #pesquisa","Rio de Janeiro, Brasil",2021-04-01,04:20:49,Rio de Janeiro
o Tio Barnabé (João Acaiabe) acabou de falecer vítima do Covid-19 😭,"Bahia, Brasil",2021-04-01,04:21:52,Bahia
crlh Chico morreu,"Goiânia, Brasil",2021-04-01,04:23:37,Goiânia
"eu tô mal kkjk,acabou c minha noite nu","Belo Horizonte, Brasil",2021-04-01,04:32:33,Belo Horizonte
"Tio Barbabé, do sítio do pica pau amarelo, faleceu em decorrência do COVID-19 F 🥺","Alagoas, Brasil",2021-04-01,04:29:35,Alagoas
"Ator do Sítio do Pica-Pau Amarelo e Chiquititas, João Acaiabe morre devido complicações da covid-19 | via","Rio de Janeiro, Brasil",2021-04-01,04:33:15,Rio de Janeiro
"As infecções parecem estar se estabilizando em um nível alto devido ao aumento das intervenções dos estados q estão impondo suas próprias medidas, diz , da ""... As próximas duas a 3 semanas serão críticas"" #COVID19","São Paulo, Brasil",2021-04-01,04:30:09,São Paulo
Tenente-coronel da PM morre em decorrência da Covid-19 no Into,"Acre, Brasil",2021-04-01,04:27:47,Acre
"Ai não gente, o Tio Barnabé do Sítio do Picapau Amarelo faleceu de covid-19 João Acaiabe foi um grande artista. Descanse em paz lenda, junto com a nossa Dona Benta 🖤","Bahia, Brasil",2021-04-01,04:31:48,Bahia
E ainda fez o sítio do Pica Pau Amarelo,"São Paulo, Brasil",2021-04-01,04:28:53,São Paulo
"Mano,não to podendo!😥 O Chico,véi mdssss","Lages, Brasil",2021-04-01,04:30:40,Lages
