text,user_location,tweet_date,time,city,Sentimento_Score,Sentimento_Label,Tristeza,Alegria,Medo,Desgosto,Raiva
gwnte serio nao vei nao meu deus gente serio,"Brasília, Brasil",2021-04-01,04:15:57,Brasília,0.0,NEUTRAL,0.0,0.0,0.0,0.0,0.0
"O pres do Paquistão testou positivo para COVID-19 em 29 de março, 14 dias após receber sua primeira injeção com uma vacina chinesa; em 20 de março, o primeiro-ministro paquistanês testou positivo para COVID-19, 2 dias depois de receber sua inoculação","Espírito Santo, Brasil",2021-04-01,04:15:15,Espírito Santo,-0.590625,NEGATIVE,1.0,0.391875,1.0,1.0,0.2625
"Descanse em paz João Acaiabe 💔 A Covid-19 levou mais um, dessa vez foi nosso eterno Tio Barnabé do Sítio do Pica Pau Amarelo e Tio Chico de Chiquititas. Que tristeza eu tô sentindo 😭😭","Almenara, Brasil",2021-04-01,04:15:23,Almenara,-0.685,MIXED,1.0,0.315,0.0,0.0,0.63
"“...As vacinas protegem razoavelmente bem contra formas graves e mortes. Logo, as pessoas podem se infectar e ficarem assintomáticas e/ou levemente doentes, transmitindo o novo #coronavirus"", explica é uma vergonha p/ o Brasil!","São Paulo, Brasil",2021-04-01,04:08:33,São Paulo,-0.3933333333333333,NEGATIVE,0.6933333333333334,0.49666666666666665,0.39666666666666667,0.2966666666666667,0.19666666666666666
#BolsonaroGenocida até qdo #STF Justiça,"São Paulo, Brasil",2021-04-01,04:05:43,São Paulo,0.75,POSITIVE,0.0,0.75,0.0,0.0,0.0
#parabéns presidente Bolsonaro #Brasil é a JUSTIÇA #ImpeachmentBolsonaroUrgente,"São Paulo, Brasil",2021-04-01,04:09:07,São Paulo,0.7875,POSITIVE,0.0,0.7875,0.0,0.0,0.0
Aaaa eu to chorando 😭 eu não acredito nisso,"Brasília, Brasil",2021-04-01,04:14:46,Brasília,-0.91875,NEGATIVE,0.91875,0.0,0.13125,0.13125,0.525
"Agora é oficial. Você pode - e deve - filmar os agentes de saúde aplicando a vacina contra a Covid19. O PL já foi aprovado no Senado e agora tramita na Câmara. Ele prevê, também, penas para quem furar a fila da vacina.","Belo Horizonte, Brasil",2021-04-01,04:04:17,Belo Horizonte,0.1225,MIXED,0.35,0.42875,0.21875,0.175,0.175
"A vacina de Oxford contra a COVID-19 tem eficácia de 79% para prevenir casos sintomáticos da doença e não aumenta o risco de coágulos sanguíneos, anunciou a empresa farmacêutica Astrazeneca, após testes de fase 3 nos EUA, Chile e Peru. #coronavirus #covid19 #pandemia #vacina","Rio de Janeiro, Brasil",2021-04-01,04:14:07,Rio de Janeiro,0.4375,POSITIVE,0.0,0.4375,0.0,0.0,0.0
"a não, eu vou chorar.","Porto Alegre, Brasil",2021-04-01,04:15:37,Porto Alegre,0.2625,POSITIVE,0.0,0.2625,0.0,0.0,0.0
